,Title,WorkTime,Pros,Cons,Work/Life Balance,Culture & Values,Career Opportunities,Compensation & Benefits,Senior Management
383,"""Firmware Engineer""",I have been working at HP Inc. full-time,"There are some interesting projects to work on. 
Potential for world travel.","Huge company with a lot of politics.
Unrealistic deadlines.",4.0,2.0,,2.0,4.0
384,"""Great Culture supported by Outstanding Sr. and Executive Leadership""",I have been working at HP Inc. full-time for less than a year,"Fantastic turnaround story in the making
Great company culture and values
New (within the last 2-3 years) Exec Leadership is top notch, as are Sr. Leaders
Investing in the future, and prospects very promising over the long run",Hiring Process can be somewhat lengthy,4.0,5.0,4.0,4.0,5.0
385,"""Global Human Resources Business Partner""",I have been working at HP Inc. full-time,Learning never ends and is encouraged.    My favorite aspects of this company are the culture and people.,We have large multi-function sites but the commute can be an issue if you live far.,5.0,5.0,4.0,4.0,5.0
386,"""Living the HP way""",I have been working at HP Inc. full-time for more than 10 years,I feel in this company I can grow and develop.  HP also allows me to balance my work-life commitments allowing opportunities for job and life integration caring for my family while growing professionally.,"It is not a secret that this technology company doesn't pay top dollar. And as any big company, decision making is quite a slow process.",5.0,5.0,4.0,3.0,4.0
387,"""Great place to work""",I have been working at HP Inc. full-time for more than 10 years,"Nice work-life balance, excellent team mates and managers. Great growth opportunities inside the company.","Health insurance should be better, salaries more competitive.",5.0,5.0,5.0,3.0,5.0
388,"""Review of an HP Engineerin Position""",I have been working at HP Inc. full-time for more than 3 years,"- Amazing, friendly work environment
- Support of personal development
- International travel; stay at very nice hotels
- Excellent salary/benefits
- Encouragement to explore, invent, come up with new ideas
- Understanding of ""real life"" situations that come up; management very supportive of any problems/difficulties in personal life",Very rushed product development; need more forecasting and less reaction,5.0,4.0,5.0,5.0,4.0
389,"""Great Place to Work""",I have been working at HP Inc. full-time for more than 10 years,"HP believes in growth mindset. 
Lot of opportunities to work in different areas and grow.  all that is needed is - self motivation, being proactive and taking initiative.
Innovation is encouraged 
Even as an individual contributor you get the rich experience of working with development teams in different parts of the world.
Flexible work environment and family friendly company",Overhead of ramping up and working on new tools which sometimes decelerates the work you are doing.,4.0,5.0,4.0,4.0,4.0
390,"""Senior Design Engineer at HP Inc""",I have been working at HP Inc. full-time for more than 10 years,The people are awesome.  The culture is good.  And we hire diverse and excellent people.,"We work hard.  We are not the ""in"" thing, so sometimes it is hard to explain to outsiders what we do and why it is cool.",3.0,4.0,3.0,3.0,3.0
391,"""A career at HP Inc. - no reason to go elsewhere""",I have been working at HP Inc. full-time for more than 10 years,"The people you work with are talented, creative, and willing to collaborate.
Flexible work hours enable a better work life balance
The content is technically challenging and everybody wants to do it right.
Attrition is low because people tend to join and stick around.","While pay isn't as competitive as it use to be it is still among the best. Long timers and new hires seem to be in the best shape. The middle is squeezed.
Workforce growth and turnover are low so growth opportunities aren't as good as they use to be.
Too many contractors, HP seems to be reluctant to hire (good and bad)",3.0,5.0,4.0,4.0,4.0
392,"""Awesome Company Culture""",I have been working at HP Inc. full-time for more than 5 years,"Great people
Competitive salary and benefits
Challenging projects
Wide range of career opportunities
Good managers
Well funded projects
HP revenues and profits are growing
Global interactions
Flexible work hours
4 weeks of new parent leave",Annual raises and bonuses are only 1 or 2 percent,5.0,5.0,5.0,4.0,5.0
393,"""Program Manager""",I have been working at HP Inc. full-time for more than 10 years,"Great people to work with, flexibility and competitive pay.",Matrix organization - can be difficult to navigate and get things done at times.,5.0,5.0,4.0,5.0,4.0
394,"""Ability to have a flexible schedule at HP Inc. is outstanding""",I have been working at HP Inc. full-time for more than 8 years,"1. Flexible schedule: no questions asked. No need to miss kids' sporting events, no worries when having to pick up a sick child from school. HP supports working from home when necessary. An atmosphere of trust, get your work done and no one will look over your shoulder noting when you arrive and leave.
2. There are plenty of opportunities for on-site recreational activities such as soccer, ultimate Frisbee, yoga and Virgin Pulse fitness programs and challenges. HP'ers are fitness-minded and value the lunch-time exercise opportunities.
3. There are opportunities to move around within HP to perform different job functions. Easy networking = more job opportunities
4. Innovative products are being developed, e.g. 3D printers","1. Work to ensure raises &amp; bonuses are reflective of one's workload and performance, in a group that is competing for the same lump sum of money.
2. HP could do some basic research on how truly terrible the MetLife dental benefits are and how many claims are denied at first and then after 6 months of arguing, the claim is processed. HP should not offer employees such a terrible insurance option.",5.0,4.0,4.0,3.0,4.0
395,"""HP Inc. review""",I have been working at HP Inc. full-time for more than 10 years,"* Great work/life balance, in most of the teams that I've been on
* Good 401K matching
* Good bonuses, sometimes, when your business does well","* HP salaries are usually about 9% less than competitors
* Raise are very small, unless you get a promotion",4.0,3.0,4.0,3.0,3.0
396,"""One of the best companies I have worked at""",I have been working at HP Inc. full-time for more than 5 years,"* Best people I have worked with
 * Very flexible hours
* No internal competition (I have seen that a lot in other companies)",* Somewhat desorganised: have grown too big and lost its focus in some areas,5.0,4.0,4.0,4.0,4.0
397,"""Good work/life balance and very socially responsible company""",I have been working at HP Inc. full-time,HP works hard to be environmentally responsible.  It supports equality efforts very well.  It's also very committed to making sure employees are trained on ethical issues and understand that the company intends on operating in an ethical way at all times.  The people are great and I have confidence in the management chain -- I think Dion's done a great job at the top.,Still a bit of old-school bureaucracy in the IT and purchasing areas.,5.0,5.0,4.0,4.0,5.0
398,"""Worst Corporate experience of my career""",I worked at HP Inc. full-time for more than a year,I can't say anything positive,"I've worked in many SV companies and this was by far the worst experience of my life.  The separation was wrought with political innuendos.  The collaboration tools were a nightmare - how has this company functioned since the separation? 
Management could care less about their people or their career goals.  Their only concern is getting their bonus's and Teslas.  Glad to be rid of that toxic work environment.",1.0,1.0,1.0,1.0,1.0
399,"""HP Inc. as a company""",I have been working at HP Inc. full-time for more than 3 years,"HP Inc. has a rich company history from its legacy company, Hewlett Packard Co. Post-separation, HP Inc. is working hard to reclaim this history as it develops its own new version of the past culture. Sustainability and diversity and inclusion, and innovation are being strongly encouraged both company-wide and at the individual level -- to the degree that it's clear that executive leadership does 'get it' and their actions reflect this.","HP Inc is a big, big company, so there is a major challenge for leadership to realize even the most worthy company-wide programs and goals.",4.0,4.0,4.0,3.0,4.0
400,"""Engaging and caring people""",I worked at HP Inc. full-time for more than a year,"How you do something is as important as what you do.  
People are friendly, engaging and caring.",Politics are a way of life at HP.,2.0,4.0,4.0,4.0,2.0
401,"""Great place to grow and lead,  the culture is based on values you can be proud of""",I have been working at HP Inc. full-time for more than 10 years,"Values integrity, teamwork, trust, and respect. Information is not power. Successful outcomes are a result of risk taking as well as amazing wealth of knowledge and experience. Really smart, motivated people! Career and development opportunities allow for breadth and depth of experience.Not hierarchical.",It's a big company so there can be frustrations with processes.,4.0,5.0,5.0,4.0,5.0
402,"""Best Place to Work""",I have been working at HP Inc. full-time for less than a year,"Upper management cares about the health and happiness of the employees. I feel like I'm making a big impact on the world through my work, and I'm valued for my expertise and intellect. Time flies by at work, and I really enjoy what I do.","There is a very steep learning curve when you start out. It can be overwhelming at times, but when you have a great manager and technical lead, you learn quickly.",5.0,5.0,5.0,5.0,5.0
403,"""Marketing Analyst""",I have been working at HP Inc. full-time for less than a year,The organization is very employee focused. Expectations and goals are set high but employee well being takes priority.  Its very easy to connect with employees throughout different departments.,The organization is big  and there are a lot of moving parts. IT systems do not always agree with each other and this requires additional time to figure out how to make them agree.,5.0,5.0,5.0,5.0,5.0
404,"""Nice to be back at HP""",I have been working at HP Inc. full-time for more than 10 years,I worked at HP in the 80s and recently returned.  Lots of nice smart people to work with.  Very little internal competition.  Everyone takes pride in the work they do.,Some residual HR outsourcing complexities left over from previous CEO's.,4.0,5.0,5.0,4.0,5.0
405,"""HP Inc ... great place to work""",I have been working at HP Inc. full-time for more than 10 years,"Management showing they appreciate people, not just profits-- looking out for customer, and employee, as well as stakeholder.   And, lots of really smart &amp; friendly people who work here... and many ""HP lifers"" who work to uphold the culture (help return it to the culture of Bill &amp; Dave?).   As well as an influx of young employees, keeping our approach fresh and infusing the culture with good energy.","For me, I wish HP Inc were based in Portland (since I live in Portland).  The drive isn't too bad though.",5.0,5.0,5.0,4.0,4.0
406,"""Great p""",I have been working at HP Inc. full-time for more than a year,"- So many great people working here
- Work/life balance is really good. Flexible working hours within reason
- Interacting with many teams from all across the globe
- Occasional travel opportunities to other sites
- Many opportunities to shift between roles/departments
- Clear strategies from management &amp; a lot of decisions/changes being made to help us get there.",Only con is the working environments. Many sites are outdated &amp; not fit for purpose leaving teams siloed or spread out. This has resulted in a very obvious lack of atmosphere/energy.,5.0,5.0,5.0,5.0,5.0
407,"""Awesome Place to Work""",I have been working at HP Inc. full-time for more than 3 years,"I love the collaborative environment at HP. Everyone is always ready and willing to help their teammates. Managers seem accessible and down-to-earth. I've even seen a VP sitting at the common mobile desks on her visits to the Vancouver site. I also enjoy the work-life balance. HP is very flexible with work hours, and managers encourage having a life outside of work. Managers also emphasize personal growth, which is great as an early-career employee. If the culture weren't enough, employees also get a front row seat to learn about some amazing technology. Would definitely recommend HP.","HP can be slow to apply funds to central IT and HR functions. This has gotten better since the separation from HPE, but it could still use some work.",5.0,5.0,5.0,5.0,5.0
408,"""Wish I could have joined earlier!""",I have been working at HP Inc. full-time for more than a year,"A great bunch of very smart and supportive people. Almost no politics or personal agendas, everybody is genuinely out to do what is best for the company. Great physical office environment, almost like a startup (though I know other sites do not offer this luxury). Great training and development focus, diversity and community support programs. You work a lot, but the work is enjoyable and satisfying. Healthy sense of urgency, no complacency in this organization!","Short-term focus on this week's / this month's results. Probably not too different compared to other major corporations, but you need to build the business a bit more for the longer term.",3.0,5.0,5.0,4.0,5.0
409,"""Great company to work for""",I have been working at HP Inc. full-time,"HP is a company where you work with knowledgeable, talented and friendly people supported by sound corporate environment.",You may have to travel around the world.,4.0,5.0,5.0,4.0,5.0
410,"""World Class Employer - great place to work!""",I have been working at HP Inc. full-time for more than 10 years,"Top Tech Company with very progressive management style, encourages employee development and engagement (The HP Way). Great opportunities to do all kinds of things all around the world.",Expectations are high and work/life balance can be a bit challenging at times.,4.0,5.0,5.0,4.0,5.0
411,"""Positive, supportive culture!""",I have been working at HP Inc. full-time for less than a year,"They were upfront and honest during the interview process, with both the good and the bad. The culture, especially in HR, is very positive and supportive, I truly enjoy the people I work with! Leaders advocate for a Growth Mindset, which creates a safe space to learn, grow, and even make mistakes. Throughout the company there are many opportunities to grow, develop, and or change roles. I'm excited to see all the great things we accomplish in the next few years!","Since it's a global company, there are often early morning or late night meetings. On the flip side, there's flexibility, which I appreciate.",5.0,5.0,5.0,4.0,5.0
412,"""Great employer, great people, great benefits""",I have been working at HP Inc. full-time for less than a year,"HP really cares about the success of their employees and it appears that the believe that to be a successful company, they must encourage, support, and continue to help their employees grow. Some additional pros include:

-Personal development courses
-Mentors programs
-Excellent communication from leadership
-Team environment and not a group of individuals
-Flexible schedules","It is a global company so some days you have to get up early, some days you have to get on a call at night. But all-in-all, they promote a healthy work/life balance.",5.0,5.0,5.0,5.0,5.0
413,"""Stressful work builds strong employee bonds""",I have been working at HP Inc. full-time for more than 5 years,"As always, the best part about working at HP is the chance to work with SOOO many incredibly talented and genuine people. I have truly formed an HP family.","The job is pretty stressful and demanding on my time. I work with colleagues and suppliers in Asia and Europe so I work all day at the office and most evenings at home on calls and meetings. I do have flexible hours so I generally choose which 12-15 hours I want to work. Also, due to time zones, my work tends to start Sunday evenings and run through Friday. Vacations are a joke, if I don't work at least 1/2 days on vacation then I get so far behind I spend the next several weeks digging out of email overload.",2.0,5.0,4.0,4.0,5.0
414,"""Things are great at HPI!""",I have been working at HP Inc. full-time for more than 10 years,"A company that is growing in it's space, creating killer products, and setting itself up for a great future. Really strong sense of TEAM here at HPI, very exciting place to be. Sure it's a job, but it's an awesome job with awesome people, great pay, and a very supporting culture.","It's hard to think of any. We had a rough go a few years back but since the split we've really been able to focus on our core business, processes, tools and as a result we are killing it!",4.0,5.0,4.0,4.0,5.0
415,"""Rewarding Work Environment""",I have been working at HP Inc. full-time for more than 10 years,"A friendly, collaborative and rewarding engineering environment ensures that the best work, ideas and collective experience is shared to develop amazing products.","Salaries may be lower than elsewhere, but the work conditions make up for it.",5.0,5.0,5.0,4.0,5.0
416,"""Great place to work""",I have been working at HP Inc. full-time for more than 10 years,"-  Great place to learn
-  Good work/life balance
-  Great diversity
-  Many career opportunities",Pressures of being a publicly trades company,5.0,,5.0,5.0,5.0
417,"""HP Still Awesome After All These Years""",I have been working at HP Inc. full-time for more than 10 years,"Even after 23 years here at HP Vancouver it is still a Mechatronix playground full of extremely talented &amp; collaborative people innovating amazing inkjet printing platforms doing our best to keep the HP Way the cornerstone of our culture.  Current upper management appear to be very transparent and very sincere when discussing how much the value the workforce and the improvements they would like to make in areas diversity, equal pay, etc...","HP Inc. is still a very large corporation that brings with it the burden of some bureaucracy and occasionally an upper management that is out of touch with the masses (e.g. Fiorina, Hurd, Apotheker)",5.0,5.0,5.0,5.0,5.0
418,"""Great place to work (country club of tech sector)""",I have been working at HP Inc. full-time for more than a year,"- Leadership team that is invested in the success of it's people (people and people impact top of mind in most discussions)
- Fairly flat compared to other organizations and very collaborative environment
- Great worklife balance","- Often challenged to focus on a few big impact items (vs. many smaller)--spread thin
- Governance and decision rights often make it difficult to make the right decisions for the broader organization
- Complex organization given matrix structure",4.0,5.0,4.0,4.0,5.0
419,"""Many opportunities to explore, may have to push hard to get them""",I have been working at HP Inc. full-time for more than 8 years,"Many businesses and roles to explore
Company culture is such that people are always willing to help, explain their role, etc.  It's not very competitive/backstabbing culture
Decision making is driven down in the company
Most teams/managers care about the results rather than butts in seats; there is general flexibility around where and when you work
People have a lots of experience to learn from","Typical with global companies, it's not uncommon to have to work early mornings or late nights, sometimes in the same day.  
The US based sites are on the older side; it can be difficult to move up, very few millennial managers, etc.   It's not uncommon to be in your 30s and still be seen as ""young.""
R&amp;D org is heavily male as you move up in management levels or tech roles
Huge company, which can be difficult to enact change or do it quickly
Company generally funds interesting new projects/products for about 3 years; if not profitable by then it usually is killed off and the team is let go",5.0,4.0,4.0,4.0,4.0
420,"""Good place to work except for the pay""",I have been working at HP Inc. full-time for more than 5 years,"HP has a laid back atmosphere with no dress code and no hours tracking.  Management is open minded to new ideas and very Flexible. 
Dion has done a great job getting HP Inc back into Growth mode and the future looks promising.","Sometimes having a Flexible schedule is not a good thing though as you can end up working 60+ hours per week if you're not careful.  

The pay for mid age employees seems to be very low compared to nearby companies...many of our best engineers are leaving for other companies.

As housing prices in the Portland Metro Area continue to skyrocket, The Vancouver Site really needs a pay adjustment.  Many of us are behind schedule on our retirement plans.",4.0,5.0,5.0,2.0,5.0
421,"""Excited for the future""",I have been working at HP Inc. full-time for more than 10 years,"HP seems to be guiding back to the HP way and working to improve innovation and investment.
Working on some really cool tech
Good benefits 
Flexible workplace
Great people &amp; company culture","Hours can be long, but this is mostly mitigated by flexibility. 
The onboarding process can be difficult",4.0,5.0,4.0,4.0,5.0
422,"""Bringing back the Legacy""",I have been working at HP Inc. full-time for less than a year,"Great working environment, Allow for work/life balance, Get to be a part of a great legacy, the birthplace of Silicon Valley, Excellent Leadership team in place, Diverse work culture","Restricted budgets can mean working with limited resources, overall compensation is somewhat behind the rest of Tech industry, Leased offices as opposed to their own Campuses",5.0,4.0,3.0,3.0,5.0
423,"""Great job, but below average salary""",I have been working at HP Inc. full-time for more than 8 years,Love the work and autonomy,The salaries are lower than comparable jobs at other tech companies,3.0,4.0,4.0,2.0,4.0
424,"""HP Inc. Corvallis, OR is a great place to work.""",I have been working at HP Inc. full-time for more than 10 years,"1. Great support for work-life balance up the entire management chain, especially for new parents. 
2. Good benefits, good compensation. 
3. Great people to work with and for, from top to bottom. 
4. Great place to start for those fresh out of school. 
5. Great support for career development and advancement for those willing to rise to the challenge. 
6. Great support network for veterans and reservists, even if pulled to active duty. 
7. Due to overall environment on-site, I look forward to coming to work knowing that I will enjoy discovering solutions to challenges with incredible coworkers and friends.","1. Would personally prefer more emphasis on salary than bonuses, as I'm invested in HP for long term career. 
2. Would like to see salary boosts for the long time faithful employees due to newer employees being hired at the same or higher pay level.",5.0,5.0,5.0,4.0,4.0
425,"""Super excited about the future of the company and the momentum created""",I have been working at HP Inc. full-time for more than a year,"Strong commitment to its people.
Product innovation and awards.
Marketing innovation and awards.
Great at letting their people move around in the company to get exposed to other areas.
Dion is very engaging and a great leader.",There can be an administrative burden at times that takes people away from strategic work.,4.0,5.0,5.0,4.0,5.0
426,"""HR/SR Technical Recruiter""",I have been working at HP Inc. full-time,"Great people! People that work at HP are smart, helpful,  and work for the betterment of mankind. Good work life balance, and culture is like one big family.",Can't think of any place I'd rather be.,5.0,5.0,5.0,5.0,5.0
427,"""HP is a great place to work""",I have been working at HP Inc. full-time for more than 5 years,"- The people at HP are second to none. I don't have a single co-worker that I don't enjoy working with, and everyone is incredibly competent.
- Employees, managers, and leaders aren't territorial. If there's something that you want to work on, even if it's outside of your area, people are happy to include you.
- Work is very difficult but rewarding. 
- In the past I've worked for companies that would launch projects and then shift strategy and not use the work. HP never does that - nothing that I work on goes unused.","- This company moves FAST so if you are wanting to sit back and ""collect a paycheck"" somewhere, this definitely isn't the place to be. I only recommend HP to people in my network that have incredible work ethics and are intent on growing their careers.",5.0,5.0,5.0,5.0,5.0
428,"""Working at HP""",I have been working at HP Inc. full-time for more than 8 years,"Very flexible, collaborative, respectful, inventive - made such great progress on innovation since we split in 2015.  I'm proud of our products and it makes my job easier to recruit top talent!",Wish there were more HP TV commercials to showcase our great products,5.0,5.0,5.0,4.0,5.0
429,"""Amazing company to work for""",I have been working at HP Inc. full-time for more than 10 years,Nimble and agile; professional; focused; optimistic.,Honestly I have no complaints.,5.0,5.0,5.0,5.0,5.0
430,"""Great Place to Grow""",I have been working at HP Inc. full-time for less than a year,"Fun activities for employees to bond.
Excellent mentoring and growth mindset.
Great pay and benefits.","Strict enforcement of not allowing contract workers to participate in HP employee events, this sometimes seems to create animosity between members of groups that host both HP and contract based employees.",5.0,5.0,4.0,5.0,4.0
431,"""The HP Way""",I have been working at HP Inc. full-time for more than 3 years,Career Development Diversity Inclusion Growth,"Technical, Sales Compensation, Competitive, Pressure",4.0,5.0,5.0,4.0,5.0
432,"""HP Glassdoor Review""",I have been working at HP Inc. full-time for more than 10 years,"HP Inc. is a company founded by Innovation and continues to innovate and change the industry.  HP is people focused company, our greatest assets are our employees.  The work is highly integrated, therefore teamwork and collaboration are primary driver in the  culture.",It is a global company so travel can be essential to the job.,4.0,5.0,5.0,4.0,4.0
433,"""Great Company""",I have been working at HP Inc. full-time for more than 3 years,Management respects people and provides excellent work life balance. There's a reason many people stay for 40 years - people are respected and there's a flexibility given.,"After the company was split, the HR resources and internal site are difficult to navigate.",5.0,5.0,5.0,5.0,4.0
434,"""An amazing place to grow, learn new things, make a difference in the world, and help create the future.""",I have been working at HP Inc. full-time for more than 8 years,The opportunity to do meaningful work alongside truly excellent colleagues--among the best in their fields.,"We take on a lot, and juggling priorities can be difficult--especially when the different projects are all so stimulating and worthwile.",4.0,5.0,4.0,4.0,5.0
435,"""The Place to Be""",I have been working at HP Inc. full-time for more than a year,"Get to be part of a large-scale company transformation.
Ability for everyone to make a difference.
Exciting work and great people to work with.
Never a dull moment.
Flexibility when you need it.","HQ is in Palo Alto...so unless you live there, the commute can be an hour.",4.0,5.0,5.0,4.0,5.0
436,"""Manager""",I have been working at HP Inc. full-time,"Good work life balance flexibility, Engaged Senior Leadership, Clear Company Priorities at all levels",Comprehensive benefits but a little pricey,5.0,5.0,4.0,4.0,5.0
437,"""Great company to work to develop your career""",I have been working at HP Inc. full-time for more than 3 years,Positive work environment and amazing culture. The coworkers are helpful and encouraging. The problems are challenging and you get to work with very smart people. The work life balance is valued.,The compensation is not as great compare to other tech company.,5.0,5.0,4.0,3.0,4.0
438,"""Getting better every day! Great culture.""",I have been working at HP Inc. full-time for more than 10 years,"Large company with an entrepreneurial spirit - definitely a different vibe now after the split from Hewlett-Packard, more hip and more fun.  Lots of encouragement to learn and grow - you're encouraged to venture into the unknown, test new ideas and bring them to life.  Co-workers tend to be very bright, supportive, and willing to share their knowledge and expertise. Opportunities to be part of global projects are many - getting to work and know people across the world has been a wonderful experience for me. Flexible work environment is a huge plus.","Very fast-pace, lots to get done. Often feels like there's just never enough time.",4.0,5.0,5.0,5.0,5.0
439,"""Strong company but needs to open up more opportunities for growth""",I have been working at HP Inc. full-time,"Laid-back environment, flexible work hours, respectful people, plenty of work to keep you busy, lots of fun events happening all the time",No set career path for non-engineers,5.0,5.0,3.0,5.0,4.0
440,"""I love HP, here's why""",I have been working at HP Inc. full-time for more than a year,"Ethical, highly principled leadership team. Collegiate atmosphere where employees partner together to win. Culture is at the center of all that we do...used corporate jet to fly generators and other relief aid to Hurricane Victims in Puerto Rico. Greenfield for career and role...have an idea, run with it. Sacred cow no longer producing milk? Challenge it.","Productivity (IT) can be a challenge sometimes, but they are trying...hey, you try splitting a Fortune 10 company in half and see what happens!",4.0,5.0,5.0,4.0,5.0
441,"""Great company to work for""",I have been working at HP Inc. full-time for more than 10 years,Great management team;  very innovative; open door policy; ideas do matter,None noted in all my year's of service,5.0,5.0,5.0,5.0,5.0
442,"""The Company I Call Home""",I have been working at HP Inc. full-time for more than a year,HP is a company that helps people grow. So many of my colleagues have been working here 15+ years and are still enjoying what they do. I can see myself working here for quite a long time  because there is so much opportunity to grow with the company and widen my range of skills and knowledge. I know I have found my home in HP and I do believe I will be here quite a long time.,"The on-boarding process during a new hire can be difficult, find someone who can help you out if you need assistance. And then, pay it forward!",5.0,5.0,5.0,4.0,4.0
443,"""Positive and collegial employer""",I have been working at HP Inc. full-time for more than 8 years,Lots of opportunities to dig deeply into interesting technologies. Commitment to respect and transparency in all business dealings.,Crappy wifi... The network is always getting worked on but hasn't gotten better ;-),5.0,5.0,4.0,4.0,5.0
444,"""Interesting Work, Great People""",I have been working at HP Inc. full-time for more than 10 years,"I work as an engineer  in Inkjet printing where there is a very interesting combination of thermodynamics, heat transfer, microscopic fluid flow, and electrical design.  My work is still very interesting, even after over 20 years in the same field. 

In addition, the people I work with are intelligent, helpful, honest, and friendly.","We have the normal corporate problems with a strategy that is sometimes unclear, a lack of personalized responses to problems, or bureaucratic processes.",4.0,5.0,5.0,3.0,4.0
445,"""Great place for a recent college grad""",I have been working at HP Inc. full-time for more than a year,There are lots of travel opportunities and there are chances to try many different types of positions.,The onboarding process is really tedious and difficult.,4.0,4.0,4.0,4.0,3.0
446,"""IT Engineer""",I have been working at HP Inc. full-time,"Great People.   Everyone is helpful to others and trying to do the right things for HP.   HP has more of the agile, start-up feel to it now.",Not enough people to get the work done on aggressive timelines.,3.0,5.0,3.0,3.0,5.0
447,"""Great tech company!""",I have been working at HP Inc. full-time for more than 3 years,"Great opportunities to really jump in, roll your sleeves up, and help make a difference. HP may have 50,000+ employees who are dispersed globally, but it feels like family.",Can be a hard to find and move to lateral or promotional opportunities. Important to network and build a  personal brand!,5.0,5.0,3.0,4.0,4.0
448,"""HP Corvallis-Engineering Position in HP Print""",I have been working at HP Inc. full-time for more than a year,"The people that I work with are the best part of the job. In general, they are qualified and dedicated. Each division may be different, but those that I have the pleasure of working with are great. I have never had an issue or concern about theft, passive aggressive attitudes, falsification of reports, or anything like that.

Also, there is a great work-life balance. The value on having a life, family, or fun is great. Flexibility to swap a weekday for a weekend is much appreciated. 

Dion does a good job at the highest level of explaining the goals for each quarter, the vision of the future, and relating worldwide accomplishments.",There is doublespeak about efficiency and quality. It is hard to merge the two ideas together. The timelines for products feel rushed and there is often poor communication between different divisions/departments.,5.0,4.0,4.0,4.0,3.0
449,"""I came for the role. I stay because of the company.""",I have been working at HP Inc. full-time for more than a year,"Cool products and technology.
A strong, committed leadership team.
HP has heart. They'll do things because they're the right things to do for humans.
Active sites that build community.","The product discount isn't as high as I'd expected.
Constant innovation means you need to be comfortable with change.",4.0,5.0,5.0,4.0,5.0
450,"""Great PEOPLE make it easy to keep reinventing.""",I have been working at HP Inc. full-time for more than a year,"The people at HP are perhaps the best part of the company. Everyone, at every level of the organization values spending time with, teaching, and sharing with others - it's viewed as part of your job and essential to getting work done.

The future of the company is also a big Pro - thinking about where our growing and expanding businesses will bring the HP of today into the HP of the future.","Sometimes in a large organization like HP, initiatives can move slow.",3.0,5.0,4.0,3.0,5.0
451,"""Great place to work in tech industry""",I have been working at HP Inc.  for more than 10 years,"Fantastic place to work if you are self motivated, collaborative, creative and like thinking outside the box and working on new and exciting projects",Not great if you do not like fast paced environment or working with people on exciting projects.,4.0,5.0,5.0,5.0,5.0
452,"""Great culture and opportunities""",I have been working at HP Inc. full-time for more than 5 years,The culture is very supportive of families and a healthy work/life balance. The salaries are competitive - especially for high performers. I feel like HP offers great opportunities for people who work hard and understand the value of building their internal network. I would recommend HP (and already have) to my friends and family as a great place to work!,"There is still a lot of red tape like you may expect from a large company. If you have an idea, finding a way to make it actually happen can be challenging unless you know the right people. 
If you are in a global role, expect late night and/or early morning meetings. These seem to have increased in frequency over the past 2 years.",4.0,5.0,5.0,4.0,4.0
453,"""Product Marketing in Houston""",I have been working at HP Inc. full-time for more than 3 years,"Great people, flexible work environment, innovative products, good benefits, good pay, good managers","Complex systems, early and late start times due to global organization, no official career mapping",4.0,5.0,5.0,4.0,5.0
454,"""HP is coming back from far""",I have been working at HP Inc. full-time for more than 3 years,"Great environment for a new graduate to learn the skills that will make you successful in your professional career.

Excellent C-level management in place providing clear vision on the company's strategy.

Great work/life balance and great opportunities to rotate to different teams.","Not as competitive in compensations as other tech firm in the Bay area.

Benefits are not extensive such as wellness subsidy, food subsidy, sabbaticals every few years of service.",5.0,5.0,5.0,2.0,5.0
455,"""Excellent environment to expand your skills and abilities, enabling you to exceed your career goals.""",I have been working at HP Inc. full-time for more than 10 years,"Outstanding opportunities for growth and development. If you have the drive and initiative, the resources are available for you to excel not only in your career, but in your personal life as well.
Very rewarding, people are recognized regularly for their contributions, making you feel a true part of the team and its successes.
Management is very supportive when it comes to work life balance. Enabling you to feel positive and comfortable with your work assignments.
Management supports diversity across the board. Creates a diverse and talented work force.","Sometimes hours can be long and you’ll have a lot on your plate, but knowing you’ll be rewarded with success makes it worthwhile.",5.0,5.0,5.0,4.0,5.0
456,"""Some employees stay here forever!""",I have been working at HP Inc. full-time for more than 5 years,"HP has a culture of longer term employees.  Recently they have been hiring more college grads.  As for benefits, vacation time off is great! Most cases we have a flexible work schedule.  I currently have a great manager.  The people you work for make the difference for working here.",Low increases for annual reviews.,4.0,5.0,4.0,4.0,5.0
457,"""I love ""the new"" HP!""",I have been working at HP Inc. full-time for more than 10 years,"High morale, company is definitely moving in the right direction.  Very cool things going on inside the company.  Awesome CEO!",No cons to share currently.,5.0,5.0,5.0,5.0,5.0
458,"""Great place to innovate and grow a career""",I have been working at HP Inc. full-time for more than 3 years,"Collaborative, growth mindset culture. Lots of creativity and trying new things. Great place to grow a career, too, and a strong long-term strategy. Strong development opportunities.",High growth culture so lots do to!,4.0,5.0,4.0,4.0,5.0
459,"""Great company culture.""",I have been working at HP Inc. full-time for less than a year,"The culture at HP is by far the best part of working here.  People are very friendly and collaborative, and the organization is flat and egalitarian.  ""Cut throat"" isn't in our vocabulary, and people exhibiting that style don't seem to last here.

It's also nice to work for a company that truly values diversity and not just because it's an industry trend.

HP also provides a lot of benefits and services to their employees, including free on-site health screenings during the work day.  The local sites also hold a ton of social and fun events throughout the year.","HP pays at the median for the industry, and the pathways for salary advancement are unclear.  So, while the work is engaging and the benefits are good, many employees are lured away to other tech companies that pay better.

HP is a pretty lean organization, which introduces the side effect of not being able to move up the leadership ladder easily.  I don't know that I'll have the career advancement opportunities I'm looking for unless the right person leaves.",4.0,5.0,4.0,3.0,4.0
