,Title,WorkTime,Pros,Cons,Work/Life Balance,Culture & Values,Career Opportunities,Compensation & Benefits,Senior Management
264,"""Red tape and abuse""",I worked at Samsung Electronics full-time for more than a year,"1. Big name company 
2. Big name company
3. Big name company 
No more  pros that I can think of...","Abusive atmosphere
No autonomy
Red tape everywhere 
Now matter what level you are, you are just executing
You won’t get far here unless you are Korean
Also they tend to prefer to hire Koreans 
HR does not care if management abuses you and turns the other cheek 
Everyone is stressed and miserable

Benefits
Subpar medical benefits
2 weeks of maternity leave
Medical leave is shady parameters 
Politically- right leaning 
Perks are terrible - it takes months to get the friends and family discounts for the devices and when you do- you get better deals on amazon. 
If you are lucky to get vacation approval from management",1.0,1.0,1.0,1.0,1.0
265,"""Work smart and first mover""",I worked at Samsung Electronics full-time for more than 10 years,Work smart with the balance,Have to take various projects per year,4.0,4.0,4.0,5.0,4.0
266,"""Nice job""",I worked at Samsung Electronics full-time,None ok great good job,Best job I ever had,2.0,2.0,3.0,2.0,2.0
267,"""Good""",I have been working at Samsung Electronics full-time,Samsung is a nice company to work with as they provide lot of benefits.,It  is hard to grow technically as lot of communication issues.,,,,,
268,"""Samsung Noida""",I worked at Samsung Electronics full-time,"Good place to work.
No pressure by manager.","Salary is not competitive.
HR management is not good.",4.0,3.0,3.0,2.0,3.0
269,"""Much to develop""",I worked at Samsung Electronics full-time,"Really wonderful benefits, including great healthcare!","Senior management has no vision or direction.
Misogyny is rampant. Work/Line Balance is horrible.",2.0,4.0,3.0,5.0,2.0
270,"""You will become invincible""",I have been working at Samsung Electronics full-time for more than 10 years,Great place to build up your career.,"Full of reports, presentations and mostly working overtime.",1.0,2.0,5.0,3.0,2.0
271,"""Director""",I worked at Samsung Electronics ,The most skillful engineeres and designers to build the world best quality electronic devices from TV to Smart Phones.,Device manafacture. Pressure to release new features every year requested by whole salers and retail channels,3.0,3.0,5.0,5.0,4.0
272,"""Great work place""",I have been working at Samsung Electronics full-time,The benefits in Samsung are great and you can have a lot of chances to make new networks.,You should work hard but it could be a Pros.,3.0,4.0,3.0,4.0,3.0
273,"""Samsung consultant lead""",I worked at Samsung Electronics full-time for more than 3 years,There is literally no pros.,"Terrible management 
no advancement 
terrible company 
no holidays off",1.0,1.0,1.0,1.0,1.0
274,"""Associate""",I have been working at Samsung Electronics full-time,"Many smart people
Large network of business units
Perks (health insurance, employee discounts, etc.)","Bureaucracy 
Lack of gender equality",,,,,
275,"""Great place to work""",I have been working at Samsung Electronics full-time,"Compensation  (Salary + Bonus)
Work environment","Strict security rules, less visible to management team",,,,,
276,"""Supply Chain Manager""",I worked at Samsung Electronics full-time,Very sophisticated global supply chain system within the company.,"Long hours, current market is tough.",1.0,3.0,4.0,3.0,4.0
277,"""Great Company""",I have been working at Samsung Electronics full-time,"Great pay, easy work and super relaxed environment",short time position and management wasn't that great,5.0,5.0,5.0,3.0,3.0
278,"""Program Manager""",I have been working at Samsung Electronics full-time for less than a year,"Very employee friendly company, that takes very good care of their employees operating in a fast-paced environment.",I have nothing negative to add at this time.,5.0,5.0,5.0,5.0,5.0
279,"""Field Sales Manger""",I worked at Samsung Electronics full-time for more than a year,The hours were flexible and convenient,No office to work in,5.0,5.0,5.0,5.0,5.0
280,"""Sr. Purchasing mgr""",I worked at Samsung Electronics full-time for more than 3 years,"Great opportunity with benefits and salary.  It feels like you work for your own family company.  The management support 100% , if you like challenge and creator.",A job is very fast pace with change directions by management from Korea.  It gives you challenges every time involving a new projects.,3.0,5.0,5.0,5.0,5.0
281,"""Improvements needed within culture and professionalism""",I have been working at Samsung Electronics full-time for more than 3 years,"Great Pay, Great Benefits and Products","Hierarchical, which would be fine if leadership were stronger.  Nepotism is rampant with a healthy dose of extremely, unethical and unprofessional behavior from Sr. Leadership on down.   There is a sickness within Samsung, that has been compounded,  from previous Sr. Directors to the newest leadership and offices.",2.0,2.0,2.0,3.0,2.0
282,"""Good, if you like being on the outside.""",I have been working at Samsung Electronics full-time,Good knowledgable team and co-workers.,Feels closed off from the rest of the company.,,,,,
283,"""Fairly good, life work balance not bad""",I have been working at Samsung Electronics full-time for more than 3 years,life work balance not bad,less company internal career opportunity,5.0,2.0,2.0,4.0,3.0
284,"""Great Place""",I worked at Samsung Electronics full-time,Samsung made it as a Fortune 500 company. They must be doing something right.,The contribution that is made is insignificant due to the size of the company.,5.0,5.0,5.0,5.0,5.0
285,"""Too much manager for one team""",I have been working at Samsung Electronics full-time for more than 3 years,"Good environment, benefits and team","too much managers and structure change
no transparency, no trust",4.0,3.0,3.0,4.0,2.0
286,"""Controlling Relationship ,simply being “bossy”  ..""",I worked at Samsung Electronics full-time for less than a year,"good health insurance benefits , big company  ..","Micromanaging Every Move, if you complain to HR about management you will be out within 2 month seen several time . Not good for woman, different kind of abuse. No human touch  they want you work as a robot.",1.0,1.0,2.0,4.0,1.0
287,"""Sr. Manager""",I have been working at Samsung Electronics full-time,Get to learn and involve in cutting edge wireless industry,"Stressful at times, no such thing as 40 hrs/week",3.0,4.0,3.0,4.0,3.0
288,"""Vice President of Marketing""",I have been working at Samsung Electronics full-time,Great access to tech and marketing partners. Global company with large network of intelligent colleagues.,Politics and matrixed reporting structures.,4.0,4.0,3.0,5.0,4.0
289,"""Great Global Opportunity""",I worked at Samsung Electronics full-time,Working at Samsung Electronics HQ provided great stretch opportunities rarely available at other organizations. Responsibilities were vast; sometimes discordant which could be an issue for someone looking for structure.,The top-down ultra-Korean approach to everything can be stifling and suffocating without a strategy. Being pro-active and finding allies is an absolute must. Unfortunately many non-Korean workers never really figured this out.,3.0,3.0,4.0,5.0,2.0
290,"""FSM""",I worked at Samsung Electronics full-time,Great Pay with Great Benefits,Unorganized and don't listen to their front line team.,3.0,3.0,2.0,5.0,2.0
291,"""Discriminatory Performance Evaluation Practice to Foreign Employees""",I worked at Samsung Electronics full-time for more than 3 years,"Tons of company resources, great benefits, amazing infrastructure","This company lures foreign recruits to come work at their Korea HQ with competitive salaries.  Unfortunately, they do not tell you that there is a double standard for performance evaluations.   They never communicated this ahead of time. There was no transparency at all.  Foreigners are evaluated at a higher standard because of their higher incomes.  You want to hold foreigners at higher standard because of their higher pay? then give them a higher position that would be aligned with their salary so that they can deliver on higher expectations.  This is discriminatory.  Their bait and switch practice is very questionable and incredibly unfair",4.0,1.0,2.0,3.0,1.0
292,"""Many weirdos in the leaderhip""",I worked at Samsung Electronics full-time,"Fast, dynamic work environment. Advanced technology.","Many weirdos in the leadership. Oppressive, rude, and very political. Taking others credits.  The worst work and life balance.",1.0,1.0,1.0,2.0,1.0
293,"""Great opportunity""",I have been working at Samsung Electronics full-time,Advancement Quality of life Great people,Pulled in a few different direction,,,,,
294,"""Experience at Samsung R&D, Bangalore""",I worked at Samsung Electronics ,The work culture is really nice and people are very helpful,They have fixed 45 hours for you to stay inside office. People often do not get the role of their choice.,2.0,4.0,4.0,3.0,3.0
295,"""Fast paced""",I worked at Samsung Electronics  for more than a year,Nice people clean office short drive to steak house and movies contract no pto no benefits. Pay ok if you work hourly.,Work life balance work life balance long hours work like babalance. Long hours long hours work life balance long hours,1.0,1.0,2.0,3.0,1.0
296,"""Worked as a senior software engineer""",I worked at Samsung Electronics full-time,Multimedia team was very good and cooperative,Less flexibility in work timings,,,,,
297,"""Engineer 1""",I have been working at Samsung Electronics full-time for more than a year,"Fast pace, good coworkers, benefit is good","Man made problems, outdated systems",2.0,3.0,3.0,4.0,3.0
298,"""Great benefit but need to improve work&life balance""",I worked at Samsung Electronics full-time for more than 5 years,Great Health Dental Vision coverage for family plan. 401k support and life insurance covered for your family as well,Too much overtime required which mostly unnecessary for your work. Too much approval process which can delay entire process,1.0,2.0,3.0,4.0,2.0
299,"""Samsung R&D India""",I worked at Samsung Electronics ,"Great teams and projects to work on, If you get one of your interest.","Its not every-time you might get a project of your interest,",,,,,
300,"""Great first job experience""",I worked at Samsung Electronics full-time,Most SRIB employees work on Samsung's flagship products and a lot of very important work is done at the Bangalore Office. Great environment to be in your first job. Good learning experience with very efficient management. Appraisal is very fair and uniform throughout the company.,Not many perks. Employee discounts are far from appealing.,4.0,4.0,,,5.0
301,"""assistant manager""",I worked at Samsung Electronics full-time,"High salary, benefis and Big name",unreasonable culture and no opprtunities,1.0,1.0,3.0,4.0,1.0
302,"""Software Engineer""",I worked at Samsung Electronics full-time,"Friendly work environment, helpful coworkers.",Projects did not match my work interest.,,,,,
303,"""Good benefits, hard work""",I have been working at Samsung Electronics full-time,"You become very resilient. The company offers good benefits as 401k, medical, dental..",The branch I worked in was very unorganized. Work is not well distributed.,1.0,3.0,1.0,4.0,1.0
304,"""best""",I have been working at Samsung Electronics full-time for more than a year,"Global Top Company
Leading IT market",i cannot find any Cons still now,,,,,
305,"""A Short review""",I worked at Samsung Electronics full-time,Good salary. lot of focus on patenting and papers,commercialization is mundane. Work life is bad,3.0,3.0,3.0,5.0,1.0
306,"""Samsung Review""",I worked at Samsung Electronics ,You can learn management skills,Too much management that prevents innovation.,,,1.0,,
307,"""Experience""",I worked at Samsung Electronics part-time,"good experience overall, would recommend to a friend.",wish I could have stayed longer.,5.0,5.0,4.0,5.0,5.0
308,"""Software Engineer""",I worked at Samsung Electronics full-time for more than 3 years,"Good bonus, Good reputation, Smart people.",No work life balance. Insane schedule.,1.0,2.0,3.0,4.0,2.0
309,"""Principal Engineer""",I have been working at Samsung Electronics full-time,"Stable, very renowned, highly structured and meals are provided","High load, stressful, salary is low in some divisions",,,,,
310,"""Manager""",I have been working at Samsung Electronics full-time for more than 5 years,"- Financially stable as the mother company of Samsung Group, which is the largest business conglomerate in South Korea.
- Provided a great opportunity to manage a large-scale international project with a budget at least $ 1 billion.","- Typical Korean or East Asian company culture such as “top down” rigid structure, and it’s less organic than western companies. 
- Top 20 international EPC contractor, but a non-Korean staff's influence is limited even though he or she is high-level management.",1.0,2.0,4.0,3.0,3.0
311,"""Good place to work""",I worked at Samsung Electronics ,"Excellent technical growth
Got to work on latest technologies
Great work environment",There was no work life balance,2.0,3.0,4.0,3.0,4.0
312,"""Deconstructing the success of Samsung""",I have been working at Samsung Electronics full-time,Company is sought as a business partner. Generally #1 in all consumer electronics and appliances categories it competes in. Very large organization with many activities and product categories,Very Korean - glass-ceiling reached fast if you're not. All decisions are made in HQ. Subsidiaries are primarily sales orgs. Definitely a HW company,3.0,2.0,1.0,3.0,2.0
313,"""Great culture""",I worked at Samsung Electronics full-time,Great culture.  Americans are valued at Samsung.,The work hours can be long.,4.0,4.0,4.0,4.0,4.0
314,"""Director of Engineering""",I have been working at Samsung Electronics full-time,"Fast paced. 
You learn a lot. 
Great for work satisfaction as it is easy to see how your work has an immediate and direct impact on millions of consumers.",work life balance is missing most of the times.,,,,,
315,"""positive""",I worked at Samsung Electronics full-time,good company to work for,too much politics going on,,,,,
316,"""Good company""",I worked at Samsung Electronics full-time for more than 3 years,"learning portals, career development are the main pro","vertical management,  not other thing to say",2.0,4.0,5.0,5.0,4.0
317,"""Engineer""",I worked at Samsung Electronics full-time for less than a year,Good company to grow and learn,less visibility being part of a big company,,,,,
318,"""Title less the authority""",I worked at Samsung Electronics full-time,Outstanding products to work with,Inability of HQ to follow feedback regarding products and programs,1.0,1.0,2.0,4.0,2.0
319,"""Samsung review""",I have been working at Samsung Electronics full-time for more than 5 years,"good salary and bonus , gifts","long hours of work, sometimes on weekend as well",2.0,2.0,2.0,4.0,3.0
320,"""Mixed Feelings""",I have been working at Samsung Electronics  for less than a year,"Innovative, ability to adapt to changing market conditions, broad product portfolio","Oversight from Korea, constant leadership changes, dog eat dog culture",3.0,2.0,2.0,4.0,3.0
321,"""senior industrial designer""",I have been working at Samsung Electronics full-time for more than 3 years,good environment and lot free time,long research and design phase in the project,4.0,4.0,4.0,4.0,4.0
322,"""N/A""",I worked at Samsung Electronics ,Everything was great for me,Nothing was bad for me,5.0,5.0,5.0,5.0,5.0
323,"""Product Manager""",I worked at Samsung Electronics full-time,"work: High responsibility, exposure to VPs & C-level, can experience all the value chain around products, open to change the team within Marketing Group

Other benefits: nice facilities (huge gym, sauna, swimming pool, rock climbing, squash..)can use it for less than $30/month. free three meals (with lots of choices), free hospital/ medication in campus","intense working environment, far from Seoul ( even though the company provides company shuttles from Seoul to Suwon for free)",3.0,3.0,4.0,4.0,3.0
324,"""Samsung Sales""",I have been working at Samsung Electronics full-time for more than 3 years,Workings with the latest and greatest tech in the business.,retail hours for the holidays can be long,4.0,4.0,3.0,5.0,3.0
325,"""Working Envronment""",I worked at Samsung Electronics full-time,Very organized management yet very isolated.,No advancement opportunity. Very hard to go up.,2.0,2.0,1.0,4.0,2.0
326,"""Not so great""",I worked at Samsung Electronics full-time,"Good salary, good travel policy","Non Authority of Work, Top down approach, no scope for creativity, Poor work life balance",1.0,2.0,,4.0,2.0
327,"""Good but not great""",I have been working at Samsung Electronics full-time,Good benefits and coworkers are amiable,HQ Management leaves something to be desired,,,,,
328,"""Great exposure to electronics market and retail""",I worked at Samsung Electronics part-time for more than a year,"Competing with huge brands for market share, learning about all technology and formulating sales ideas",no commission can be discouraging,,,,,
329,"""Temp Admin Asst""",I worked at Samsung Electronics part-time for more than 3 years,"Wonderful, busy work environment. Employ from within. Great location with on-site cafeteria, ATM, gym.",Parking was a little difficult.,4.0,5.0,,5.0,5.0
330,"""Office Facilites Coordinator""",I worked at Samsung Electronics full-time for more than 8 years,"Great Company , good benefits . co- workers, managers, very friendly",60%  of stress - Employees get sick very frequently,3.0,3.0,4.0,4.0,3.0
331,"""Assistant Manager""",I worked at Samsung Electronics full-time,"good experience, high tech, networking for consumer electronics","long work hour, competition within the company",3.0,3.0,5.0,3.0,3.0
332,"""sales associate""",I worked at Samsung Electronics part-time for more than a year,Good pay for a part time sales position. Schedule is updated weekly and flexible but you must be available to work on weekends. A good environment to work in except you have to be on your feet all day.,There is a lot of things to learn every week about their programs and the company. Sometimes these information are not utilized during work due to the lack of customers traffic. People slack off and there is not much room for growth.,4.0,4.0,3.0,4.0,4.0
333,"""Solid company to work for""",I have been working at Samsung Electronics full-time,Leader in the tech industry,Location is not particularly exciting or inspiring,,,,,
334,"""happy to quit...after working 4 years""",I have been working at Samsung Electronics ,"high salary, world-known brand name, lots of resource","hierarch issues like any other Korean companies, very little flexibility, long long work hours",1.0,2.0,3.0,4.0,2.0
335,"""equipment technician""",I have been working at Samsung Electronics  for more than a year,pride while working for well known company,"very complicated systems , typically use 8 systems  to identify & make minor repairs on equipment.  rely heavily on memory rather than documentation",2.0,3.0,2.0,2.0,1.0
336,"""Not so good work culture""",I worked at Samsung Electronics full-time,"Good opportunities, people and facilities",Bad work culture and timing restrictions,1.0,1.0,3.0,3.0,3.0
337,"""Field Sales Manager""",I have been working at Samsung Electronics full-time for more than 3 years,Good clients and free to do what you need to do,Upper manager tries to hard.,2.0,2.0,2.0,2.0,2.0
338,"""corporate strategy manager""",I worked at Samsung Electronics full-time,Global operations can give an oppourtunity,so strong hierachy culuture in comnapy,1.0,2.0,5.0,4.0,2.0
339,"""Get things done fast""",I worked at Samsung Electronics full-time,"Strict, fast on delivery of products",Limited influence outside of HQ,5.0,5.0,5.0,5.0,5.0
340,"""Nice""",I have been working at Samsung Electronics full-time for more than a year,"Good pay, nice people, big boys","micromanage, long hour, many layoff",,,,,
341,"""No work-life balance (An African branch)""",I worked at Samsung Electronics full-time for more than a year,"Since I came from abroad to work for a branch in Africa, they paid for my apartment (considering the local rental price, $2,000/month), transportation (had a driver who helped me commute) and free quality lunch. Depending on the sales, good compensation.
Looks good on the resume. And after working in such a high pressure workplace, nothing else seem terribly difficult.","No work-life balance. Koreans are expected to sit around in their desk until their seniors leave work. And they usually work until 8-10pm. When busy, easily passed midnight. High work ethics but no efficiency at work. Expected to be ready to come to work, get on the messenger or answer your phone even in the week-end. Everything's 'emergency'.
Always worked in fear. Higher managers are always extremely stressed under lots of pressure. Managers don't know how to manage people. The whole company needs a serious change in work culture.",1.0,1.0,4.0,4.0,1.0
342,"""Sr. Manager""",I have been working at Samsung Electronics full-time for more than 10 years,"Good salary, Great products, Career opportunity",Leadership team does not provide direction,3.0,3.0,4.0,4.0,3.0
343,"""One of the Best... for a reason.""",I worked at Samsung Electronics full-time for more than a year,Graceful upon exit and charitable with time. Nothing bad to say about the Company.,None. Would gladly recommend to peers.,5.0,5.0,5.0,5.0,5.0
344,"""Great Experience""",I worked at Samsung Electronics full-time for more than a year,Dynamic Culture and amazing benefits; work with talented people,"tough political environment, shifting priorities",4.0,3.0,4.0,5.0,3.0
345,"""Associate""",I worked at Samsung Electronics ,"Overall, it is a good company for new grads.",Not specific cons for this company.,,,4.0,4.0,
346,"""confusing interview""",I have been working at Samsung Electronics full-time,"large company, successful, in the news","south korean management dynamics, paying attention to US employees",2.0,3.0,4.0,4.0,2.0
347,"""Sr. Executive Asst""",I have been working at Samsung Electronics full-time for more than 10 years,"Stellar benefits, awesome flex time, great coworkers",Sometimes long work hours depending on what is going on in the business,4.0,4.0,5.0,5.0,4.0
348,"""Steer clear""",I have been working at Samsung Electronics full-time,Good healthcare benefits but thats it,"Terrible management, no clear direction",1.0,1.0,1.0,1.0,1.0
349,"""Inventory allocation""",I have been working at Samsung Electronics full-time for more than 3 years,"Vacations days carryover, Great health benefits, end of the year gifts. Team building budget to go on outings to restaurants, team building lunches . Discounts on all products.","Stressful environment, lack of work life experience , weekend hours, difficult learning environment no manuals. Hard to get promoted , lack of backup",2.0,2.0,3.0,5.0,3.0
350,"""Junior engineer""",I have been working at Samsung Electronics full-time for more than a year,Engineering is my goal and I want be a successful people. I want  do  some innovation for your company.,You always understand your senior intelligence person.,5.0,5.0,5.0,,
351,"""Overall great experience working with team""",I have been working at Samsung Electronics ,They were very courteous but also diligent in their duties.,Sometimes work gets a bit too tedious.,,,,,
352,"""Not an inspiring company culture""",I worked at Samsung Electronics full-time,"Great compensation, great to work on products that are in the homes and hands of millions of people.","Because headquarters is in Seoul, for those accustomed to working in U.S. companies it is a difficult cultural environment.",1.0,1.0,3.0,4.0,2.0
353,"""Good Experience""",I worked at Samsung Electronics full-time,They truly involved lower level employees in or to train and engage them.,Not as organized as they should be.,,,,,
354,"""manager""",I have been working at Samsung Electronics full-time,flexible schedule and work on innovative projects,"promotions, choice of work, approval for work from home",,,,,
355,"""Engineering""",I worked at Samsung Electronics ,"As an engineer at Samsung, I would love to recommend to everyone who is looking for a job",Nothing to say about company. No complaints while I was there,5.0,5.0,5.0,5.0,5.0
356,"""Project Coordinator""",I worked at Samsung Electronics full-time,"Great office environment, lots to learn and great to start career.",Hierarchy level is no joke. May take some time to move on up and benefits are mediocre.,3.0,5.0,5.0,2.0,4.0
357,"""good place to work""",I worked at Samsung Electronics full-time,"development-focused, recognition for hard work, strong teams, job stability",not so good work-life balance,,,,,
358,"""Phone centric""",I worked at Samsung Electronics full-time for more than a year,Innovation for products is good,CRM and sales tracking had major issues,3.0,2.0,3.0,4.0,2.0
359,"""strategy shifting daily""",I have been working at Samsung Electronics full-time for less than a year,good benefits & the pay is competitive,day to day swings in strategy are outrageous. very reactive culture.,1.0,1.0,1.0,4.0,1.0
360,"""So-so - whether you'd like it depends on what's important to you and what specific people you end up working with.""",I have been working at Samsung Electronics full-time,"Polite, calm culture, a lot of good people, ambitious culture,","Usual problems of a large company made worse for people at US site by Korea-centric leadership attitude.   Silo-ed, very complicated corporate structure, hard to communicate, variable quality management - can be quite ineffective.    Many people wonder why the great success when they look around them and see what's done that they can see.   Somehow, enough works somewhere for the company to succeed.",3.0,3.0,3.0,3.0,3.0
361,"""Samsung""",I have been working at Samsung Electronics full-time for more than 8 years,"-Innovative, high-quality product
-good financial compensation/benefits","-Stagnant career growth opportunity
-Siloed department structure  
-Lack of Strategic vision from management",3.0,2.0,2.0,3.0,2.0
362,"""Might be better options out there""",I worked at Samsung Electronics full-time,People are very friendly and smart,Korean managed - not collaborative - smart people not being heard,2.0,2.0,2.0,2.0,2.0
363,"""Marketing""",I worked at Samsung Electronics full-time for more than 5 years,creative and large budgets and always evolving,driven by fear and demanding.  Not a family friendly atmosphere,1.0,3.0,4.0,5.0,3.0
364,"""Samsung""",I have been working at Samsung Electronics full-time for more than 5 years,learn a lot and quickly,hard to make work and life balance,3.0,3.0,3.0,4.0,3.0
365,"""Customer Experience Manager""",I have been working at Samsung Electronics full-time,"Fast-pace, ever changing, company built from great people.","Ambiguous, very corporate culture, Sr. level mgmt is not always open to new ideas/ways of thinking or problem solving.",4.0,3.0,4.0,5.0,5.0
366,"""Not ideal for young and aspiring""",I worked at Samsung Electronics full-time,"Company reputation, new phone every year","Average salary, no stock, no long term goal, Korean HQ controls too much.",4.0,1.0,2.0,3.0,2.0
367,"""Senior Manager""",I have been working at Samsung Electronics full-time for more than 3 years,Work with some of the best and brightest people in the world,An incredible amount of reporting and expense management on a weekly basis.,2.0,3.0,5.0,4.0,3.0
368,"""Senior engineer""",I worked at Samsung Electronics full-time,"Good benefit,  nice work environment","Bad management,  unfair career opportunities",5.0,4.0,3.0,5.0,4.0
369,"""Assistant Manager""",I worked at Samsung Electronics full-time,"Great perks and innovative.  Moreover, met some great people",Long hours and often times slow to get approvals,4.0,4.0,5.0,4.0,3.0
370,"""System LSI...""",I worked at Samsung Electronics full-time,Great pay and excellent benefits.,No work-life balance with endless deadlines.,1.0,3.0,3.0,5.0,1.0
371,"""Okay.  Good experience & pay... but that is it""",I have been working at Samsung Electronics full-time for more than a year,"household name, good retail/product marketing experience, pay, vacation days","All business decisions come from mother ship in S. Korea.  Soul-less, no personality, no fun, sterile environment, sterile people, good old boys network, spend tons of time on things that do no really matter and dont move the needle, very executional and tactical vs using your brain and data to make strategic decisions.",2.0,2.0,3.0,4.0,2.0
372,"""Very okay.""",I have been working at Samsung Electronics full-time,very good company to work at.,"not that many cons to begin with,.",4.0,4.0,4.0,4.0,4.0
373,"""procurement Manager""",I worked at Samsung Electronics full-time,"good Salary, people, starting carrer","long hour, decision from HQ",1.0,1.0,3.0,5.0,1.0
374,"""Engineer""",I worked at Samsung Electronics full-time,"Cutting-edge technology, Fast-paced environment, Team-oriented","Long hours, political, difficult to communicate to headquarters if you do not speak korean",2.0,3.0,4.0,5.0,3.0
375,"""Work experience""",I worked at Samsung Electronics full-time,"A lot of intellectually challenging engineering problems, company is still growing, a lot of smart people","Tough work and life balance, hard competitive threat from other competitors",2.0,3.0,4.0,3.0,4.0
376,"""Sales Director""",I worked at Samsung Electronics full-time for more than 5 years,"Great place to work, good benefits and policies","Very structured organization, too rigid",4.0,3.0,4.0,4.0,3.0
377,"""Very confusing and overwhelming if you are just starting to work at samsung.""",I have been working at Samsung Electronics ,"Opportunities to work on many projects from small to large and learning about the business from logistics, planning, etc.","Not a IT company like Google and facebook.
Business requirements given to you can be very vague sometimes so you have to be a project manager at the same time",3.0,3.0,3.0,4.0,
378,"""Engineer""",I have been working at Samsung Electronics full-time,super working culture and its good,"none , everything is good for working",,,,,
379,"""Internship""",I worked at Samsung Electronics ,"Good stipend
Transportation facility
lunch facility
Quarterly parties
Various events","Boring work
You can learn nothing from what you are doing
Office politics
Managers push you to stay late and work",1.0,1.0,3.0,4.0,1.0
380,"""8 years for full time""",I have been working at Samsung Electronics ,"As a sales manager in headquarter located in Korea, I worked with so many various IT companies such as Amazon, Apple, Sony etc. Everyone knows Samsung that has been leading many industries(Mobile, TV, Display, Semiconductor etc). So, that is more than just a privilege. If you want, you have many career opportunities and compensation is overall better than any other competitors. Work & Life balance is getting better. What you've probably heard about it is rumors that applied long time ago. Working culture is getting global as well.",hardly found as long as you are willing to live and work in Korea.,4.0,4.0,5.0,5.0,4.0
381,"""Sr. Manager""",I have been working at Samsung Electronics full-time for more than 3 years,"Benefits and pay is good... changing technology is exciting with good investment in R&D.  Beyond that, not much which is sad.","Work/life balance, find ways to not pay commission, change rules on sales quota at end of performance periods, do not promote from within.",1.0,1.0,1.0,4.0,1.0
382,"""Market Representative""",I worked at Samsung Electronics full-time,Great Products You can trust,"Horrible Human Resources
Management Discrminates Based on appearance , or physical limitations like being to fat or to blind",2.0,2.0,2.0,3.0,3.0
383,"""Good Ideas - Poor Execution""",I worked at Samsung Electronics full-time for more than 5 years,"Great benefits
Smart & Talented Employees 
Opportunities to work on new & exciting products","Poor Communication
Lack of transparency 
No apparent unified vision",3.0,3.0,2.0,4.0,3.0
384,"""Great Benefits""",I worked at Samsung Electronics full-time,"Great people, as long as you do your part, there should be room for growth.
Benefits are great, good company name as well.","Hard to grow due to many coworkers around your age doing similar work as others.
Must put in enough years to grow.",3.0,3.0,2.0,4.0,3.0
385,"""Customer service""",I worked at Samsung Electronics full-time for more than 3 years,None.   Paid poorly.  Terrible company ethics.,"Don't buy Samsung or work for Samsung.  
Entire company in toilet",1.0,1.0,1.0,1.0,1.0
386,"""Samsung Salary""",I have been working at Samsung Electronics full-time for more than 8 years,Very good benefits for a non American company,work life balance is a little bad given the Korean timings,5.0,5.0,5.0,5.0,5.0
387,"""Great Company!""",I have been working at Samsung Electronics  for more than 10 years,"The products, the people and the culture.",Heavy security constraints that limit ability to perform job quickly,,,,,
388,"""Good company.""",I worked at Samsung Electronics full-time,Excellent working environment and people.,Hard working including even many weekends.,2.0,3.0,4.0,4.0,2.0
389,"""Good Company""",I worked at Samsung Electronics full-time for more than a year,You will not get bored.,Nothing . . . .,3.0,5.0,4.0,5.0,5.0
390,"""Strategy""",I have been working at Samsung Electronics full-time,"-Able to work on projects that you will soon see in the marketplace
-Level of employees varies, but some extremely intelligent people","-Relatively slow moving for a tech company, as the company is so large and leadership is scattered throughout the world",3.0,3.0,3.0,4.0,3.0
391,"""Complex, multi-dimensional organization""",I worked at Samsung Electronics full-time,Resources to do anything you want to do,No way to convince anyone about what you want to do,1.0,5.0,3.0,5.0,3.0
392,"""Business Analyst""",I have been working at Samsung Electronics ,Fast moving place with smart ppl willing to help you,"I can't think of anything off the top of the head, everyone is open.",5.0,5.0,5.0,5.0,5.0
393,"""Fast moving company, great platform""",I worked at Samsung Electronics full-time for more than 5 years,Aggressive company that does things quickly. Ability to get exposure to many different aspects of business and levels within the company if in the right position,Can be difficult to understand how to play the game. Those that don't adapt lose.,2.0,4.0,4.0,4.0,4.0
394,"""HT marketing unit""",I have been working at Samsung Electronics ,good travel options nice offices,"long hours, lots of drinking",2.0,4.0,3.0,4.0,2.0
395,"""Samsung""",I worked at Samsung Electronics part-time for more than a year,Flexible with scheduling and great pay rate,Not enough hours were available,4.0,4.0,2.0,3.0,3.0
396,"""good""",I have been working at Samsung Electronics full-time,"nice benefit, smart people, big scale",too much as well as endless work,3.0,,4.0,5.0,3.0
397,"""Principal""",I worked at Samsung Electronics full-time,"Good pay, Good benefits, in California","Corporate culture, Work/Life balance, Commute",3.0,2.0,4.0,4.0,2.0
398,"""Top down""",I worked at Samsung Electronics full-time,"good benefits, nice bonus salary","top down culture, very stiff",,,,,
399,"""One of the worst companies I've worked for.""",I worked at Samsung Electronics full-time for more than a year,"Lunch benefits - Pays only 20% of lunch.
Birthday - Celebrates as a group / Gift Cards.
Clean and good environment.","50% of the Employees working for this company are not outside sponsored.
You're not considered as a Samsung employee; treats you differently.
Extremely Koreanized - Culture, Language & Beneficial.",1.0,1.0,1.0,1.0,1.0
400,"""2017""",I have been working at Samsung Electronics full-time for less than a year,"Good culture, friendly enviornment, caring management team","Low pay, not much career advancement, workload is very seasonal",2.0,4.0,1.0,4.0,3.0
401,"""A big university for the young people to grow""",I worked at Samsung Electronics full-time,Many opportunities and well-rounded system,Micro management; Bad work and life balance,2.0,3.0,3.0,4.0,3.0
402,"""Engineer""",I worked at Samsung Electronics full-time,They offer you great benefit (Health insurance),Top down management. Most of managers are Korean and they use fear to motivate people.,3.0,2.0,3.0,5.0,1.0
